epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,172.998,0.44501,0.38415,0.96801,0.65987,0.42017,0.48447,0.29869,1.5671,2.95395,2.36238,0.000472894,0.000472894,0.000472894
133,174.242,0.51285,0.44989,1.01197,0.61887,0.40312,0.46924,0.29677,1.60619,2.86928,2.41508,0.000470145,0.000470145,0.000470145
134,175.529,0.49597,0.43654,1.00465,0.59105,0.44554,0.44875,0.28672,1.65338,2.91887,2.39759,0.000467396,0.000467396,0.000467396
135,176.794,0.4612,0.41656,1.00736,0.56561,0.46536,0.46602,0.28977,1.68807,2.85306,2.43099,0.000464647,0.000464647,0.000464647
136,178.044,0.46825,0.41142,0.98799,0.69865,0.41591,0.4966,0.29131,1.74662,2.86156,2.52431,0.000461898,0.000461898,0.000461898
137,179.313,0.48353,0.43151,1.00356,0.74089,0.40662,0.49753,0.29206,1.80112,2.81225,2.60139,0.00045915,0.00045915,0.00045915
138,180.574,0.48634,0.42564,0.98719,0.63328,0.39374,0.45956,0.28679,1.71935,2.95445,2.4705,0.000456401,0.000456401,0.000456401
139,181.824,0.44159,0.39753,1.00242,0.46075,0.48834,0.46381,0.27736,1.70313,2.992,2.46039,0.000453652,0.000453652,0.000453652
140,183.086,0.49423,0.45137,1.02524,0.52883,0.43121,0.43774,0.24644,1.6861,3.10187,2.45921,0.000450903,0.000450903,0.000450903
141,184.334,0.45845,0.43663,0.99087,0.58579,0.46708,0.49713,0.26854,1.63943,3.00321,2.36036,0.000448154,0.000448154,0.000448154
142,185.579,0.46366,0.39942,0.99473,0.59274,0.49422,0.50426,0.29599,1.54839,2.94474,2.18848,0.000445405,0.000445405,0.000445405
143,186.831,0.40901,0.36784,0.99382,0.64329,0.4526,0.49721,0.30484,1.55117,2.82267,2.15126,0.000442656,0.000442656,0.000442656
144,188.096,0.46711,0.4406,1.0019,0.67881,0.4687,0.53212,0.32147,1.63594,2.60302,2.2763,0.000439907,0.000439907,0.000439907
145,189.337,0.46813,0.39967,1.01893,0.6348,0.50129,0.54277,0.32996,1.67187,2.49148,2.351,0.000437158,0.000437158,0.000437158
146,190.606,0.43227,0.42786,0.99222,0.52167,0.51895,0.52324,0.31496,1.67904,2.52359,2.33605,0.000434409,0.000434409,0.000434409
147,191.851,0.44192,0.40551,0.98555,0.50263,0.52991,0.55058,0.32462,1.68041,2.54432,2.34758,0.000431661,0.000431661,0.000431661
